#
# measurement units, case insensitive so everything is lower case for simplicity
# the comments after // are required by UnitNormalizer for unit normalization! Do not remove
# note: multi-word phrases must be tokenized in the same way as our tokenizer. If not sure, try the phrases in ./shell first!
#
kilometer           // km::distance
kilometers          // km::distance
km                  // km::distance
meter               // m::length
meters              // m::length
m                   // m::length
centimeter          // cm::length
centimeters         // cm::length
cm                  // cm::length
millimeter          // mm::length
millimeters         // mm::length
mm                  // mm::length
micrometer          // μm::length
micrometers         // μm::length
μm                  // μm::length
mile                // mi::distance
miles               // mi::distance
mi                  // mi::distance
yard                // yd::distance
yards               // yd::distance
yd                  // yd::distance
foot                // ft::length
feet                // ft::length
ft                  // ft::length
ft.                 // ft::length
inch                // in::length
inches              // in::length
in                  // in::length
square kilometer    // km2::area
square kilometers   // km2::area
km2                 // km2::area
square meter        // m2::area
square meters       // m2::area
m2                  // m2::area
acre                // acre::area
acres               // acre::area
hectare             // ha::area
hectares            // ha::area
ha                  // ha::area
square foot         // ft2::area
square feet         // ft2::area
ft2                 // ft2::area
square inch         // in2::area
square inches       // in2::area
in2                 // in2::area
square yard         // yd2::area
square yards        // yd2::area
yd2                 // yd2::area
kilogram            // kg::mass
kilograms           // kg::mass
kg                  // kg::mass
gram                // g::mass
g                   // g::mass
milligram           // mg::mass
mg                  // mg::mass
grain               // gr::mass
gr                  // gr::mass
ton                 // t::mass
t                   // t::mass
carat               // carat::mass
pound               // lb::mass
pounds              // lb::mass
lb                  // lb::mass
lbs                 // lb::mass
ounce               // oz::mass
oz                  // oz::mass
fl oz               // oz::volume
pennyweight         // pw::mass
dwt                 // dwt::mass
year                // y::duration
yr                  // y::duration
years               // y::duration
nanosecond          // ns::duration
nanoseconds         // ns::duration
ns                  // ns::duration
week                // w::duration
weeks               // w::duration
wk                  // w::duration
day                 // d::duration
days                // d::duration
d                   // d::duration
ds                  // d::duration
month               // month::duration
months              // month::duration
minutes             // min::duration
minute              // min::duration
min                 // min::duration
mins                // min::duration
second              // s::duration
seconds             // s::duration
s                   // s::duration
hour                // h::duration
hours               // h::duration
h                   // h::duration
hs                  // h::duration
cubic meter         // m3::volume
cubic meters        // m3::volume
m3                  // m3::volume
liter               // l::volume
liters              // l::volume
liters ha-1         // l/ha::areal density
l                   // l::volume
milliliter          // ml::volume
milliliters         // ml::volume
ml                  // ml::volume
teaspoon            // tspn::volume
teaspoons           // tspn::volume
tablespoon          // tbspn::volume
tablespoons         // tbspn::volume
pint                // pt::volume
pints               // pt::volume
liq pt              // pt::volume
dry pt              // pt::volume
quart               // qt::volume
quarts              // qt::volume
qt                  // qt::volume
dry qt              // qt::volume
gallon              // gl::volume
gallons             // gl::volume
gl                  // gl::volume
cup                 // cup::volume
cups                // cup::volume
barrel              // bbl::volume
barrels             // bbl::volume
bbl                 // bbl::volume
acre-foot           // acreft::volume
acre-feet           // acreft::volume
cubic foot          // ft3::volume
cubic feet          // ft3::volume
ft3                 // ft3::volume
cubic inch          // in3::volume
cubic inches        // in3::volume
in3                 // in3::volume
cubic mile          // mi3::volume
cubic miles         // mi3::volume
mi3                 // mi3::volume
cubic yard          // yd3::volume
cubic yards         // yd3::volume
yd3                 // yd3::volume
tonnes              // t::mass
