#
# Common measurements units + concentration(water+soil) units
#
t per ha                       // t/ha
t ha–1                         // t/ha
t/ha                           // t/ha
t /ha                          // t/ha
kg /ha                         // kg/ha
KG /ha                         // kg/ha
kg N/ha                        // kg/ha
metric tons per hectare        // t/ha
metric tons                    // t
mt                             // t
MT                             // t
tonnes                         // t
tonnes /ha                     // t/ha
tonnes/ha                      // t/ha
ton/ha                         // t/ha
MT/ha                          // t/ha
kg/ha                          // kg/ha
kg ha–1                        // kg/ha
g m−2                          // g/m2
g/m2                           // g/m2
g /m2                          // g/m2
MT per hectare                 // t/ha
T/ha                           // t/ha
T /ha                          // t/ha
kg urea ha–1                   // kg/ha
kg N ha–1                      // kg/ha
kg P ha–1                      // kg/ha
kg DAP ha–1                    // kg/ha
kg TSP ha–1                    // kg/ha
kgP2O5/ha                      // kg/ha
Mg ha–1                        // mg/ha

mg/L                           // mg/l
mg.L-1                         // mg/l
mg/kg                          // mg/kg
mg.kg-1                        // mg/kg
mg kg–1                        // mg/kg
g/kg                           // g/kg
g.kg-1                         // g/kg
g kg–1                         // g/kg
mg/g                           // mg/g
mg.g-1                         // mg/g
g/L                            // g/l
g.L-1                          // g/l
mg/mL                          // mg/ml
mg.mL-1                        // mg/ml
μg/μL                          // μg/μl
μg.μL-1                        // μg/μl
μg/g                           // μg/g
μg.g-1                         // μg/g
ng/μL                          // ng/μl
ng.μL-1                        // ng/μl
μg/kg                          // μg/kg
μg.kg-1                        // μg/kg
ng/g                           // ng/g
ng.g-1                         // ng/g
ng/kg                          // ng/kg
ng.kg-1                        // ng/kg
ng/mL                          // ng/ml
ng.mL-1                        // ng/ml
pg/μL                          // pg/μl 
pg.μL-1                        // pg/μl
pg/g                           // pg/g
pg.g-1                         // pg/g
ng/mL                          // ng/ml
pg.mL-1                        // ng/ml
fg/μL                          // fg/μl
m3 /ha                         // m3/ha
m3/ha                          // m3/ha
