#
# List of holidays in the United States extracted from the Jollyday api.
# Each phrase before // is an alternative name of a holiday and must be in lower case.
# The comment after // is the canonical form given by Jollyday.
# This list of canonical forms can be obtained from GenerateHolidaysApp.
#
# Please try to alphabetize.
#
alaska day								//	ALASKA
all hallows day                         //  ALL_HALLOW
all hallows ' day                       //  ALL_HALLOW
hallowmas                               //  ALL_HALLOW
all saints day                          //  ALL_HALLOW
all souls day                           //  ALL_SOULS
all souls ' day                         //  ALL_SOULS
april fools day                         //  APRIL_FOOLS
april fool 's day                       //  APRIL_FOOLS
april fools ' day                       //  APRIL_FOOLS
arbor day								//	ARBOR
arbour day								//	ARBOR
st. john the baptist day                //  BAPTISTE
saint john the baptist day              //  BAPTISTE
bastille day                            //  BASTILLE
battle of bennington					//	BENNINGTON
battle of bennington day				//	BENNINGTON
bennington battle day					//	BENNINGTON
canberra day                            //  CANBERRA
césar chávez 's birthday				//	CESAR_CHAVEZ
césar chávez birthday				    //	CESAR_CHAVEZ
cesar chavez 's birthday				//	CESAR_CHAVEZ
cesar chavez birthday				    //	CESAR_CHAVEZ
césar chávez 's day				        //	CESAR_CHAVEZ
césar chávez day				        //	CESAR_CHAVEZ
cesar chavez 's day				        //	CESAR_CHAVEZ
cesar chavez day				        //	CESAR_CHAVEZ
christmas								//	CHRISTMAS
christmas day   						//	CHRISTMAS
christmas eve							//	CHRISTMAS_EVE
christmas evening					    //	CHRISTMAS_EVE
christmas vigil							//	CHRISTMAS_EVE
day before christmas					//	CHRISTMAS_EVE
night before christmas					//	CHRISTMAS_EVE
cinco de mayo                           //  CINCO_DE_MAYO
columbus day							//	COLUMBUS_DAY
columbus ' day							//	COLUMBUS_DAY
indigenous peoples day				    //	COLUMBUS_DAY
indigenous peoples ' day			    //	COLUMBUS_DAY
election day							//	ELECTION_DAY
polling day 							//	ELECTION_DAY
fathers day                             //  FATHERS_DAY
father 's day                           //  FATHERS_DAY
first contact day                       //  FIRST_CONTACT_DAY
groundhog day                           //  GROUNDHOG
guy fawkes day                          //  GUY_FAWKES
halloween                               //  HALLOWEEN
jefferson davis day						//	JEFFERSON_DAVIS
jefferson davis ' day					//	JEFFERSON_DAVIS
jefferson davis birthday      			//	JEFFERSON_DAVIS
jefferson davis ' birthday				//	JEFFERSON_DAVIS
juneteenth                              //  JUNETEENTH
juneteenth day                          //  JUNETEENTH
prince jonah kuhio kalanianaole day		//	KALANIANAOLE
prince jonah kuhio kalanianaole 's day	//	KALANIANAOLE
prince jonah kūhiō kalanianaole day		//	KALANIANAOLE
prince jonah kūhiō kalanianaole 's day	//	KALANIANAOLE
prince kuhio day                        //	KALANIANAOLE
prince kuhio 's day                     //	KALANIANAOLE
prince kūhiō day                        //	KALANIANAOLE
prince kūhiō 's day                     //	KALANIANAOLE
kuhio day                       		//	KALANIANAOLE
kuhio 's day                       		//	KALANIANAOLE
kūhiō day                       		//	KALANIANAOLE
kūhiō 's day                       		//	KALANIANAOLE
kamehameha day							//	KAMEHAMEHA
kamehameha 's day						//	KAMEHAMEHA
king kamehameha day						//	KAMEHAMEHA
king kamehameha 's day					//	KAMEHAMEHA
king kamehameha i day                   //	KAMEHAMEHA
labour day								//	LABOUR_DAY
labor day								//	LABOUR_DAY
lee-jackson day							//	LEE_JACKSON
lincoln 's birthday						//	LINCOLN
lincoln birthday						//	LINCOLN
lincoln 's day  						//	LINCOLN
lincoln day     						//	LINCOLN
martin luther king, jr. day				//	MARTIN_LUTHER_KING
martin luther king jr. day				//	MARTIN_LUTHER_KING
mlk day                                 //	MARTIN_LUTHER_KING
king day                                //	MARTIN_LUTHER_KING
reverend dr. martin luther king jr. day //	MARTIN_LUTHER_KING
may day                                 //  MAYDAY
workers day                             //  MAYDAY
workers ' day                           //  MAYDAY
inauguration day                        //  INAUGURATION
international workers day               //  MAYDAY
international workers ' day             //  MAYDAY
memorial day							//	MEMORIAL
decoration day							//	MEMORIAL
mothers day                             //  MOTHERS_DAY
mother 's day                           //  MOTHERS_DAY
nevada day								//	NEVADA
new year								//	NEW_YEAR
new year day							//	NEW_YEAR
new years day							//	NEW_YEAR
new year 's day							//	NEW_YEAR
new years eve							//	NEW_YEARS_EVE
new year 's eve							//	NEW_YEARS_EVE
new year eve							//	NEW_YEARS_EVE
patriots ' day							//	PATRIOT
patriot 's day							//	PATRIOT
patriots day							//	PATRIOT
pi day                                  //  PI_DAY
pioneer day								//	PIONEER
presidents day							//	PRESIDENTS_DAY
presidents ' day						//	PRESIDENTS_DAY
casimir pulaski day						//	PULASKI
casimir pulaski 's day					//	PULASKI
service reduction day					//	SERVICE_REDUCTION
seward 's day							//	SEWARD
seward day  							//	SEWARD
st. george 's day                       //  ST_GEORGE
