#
# measurement units, case insensitive so everything is lower case for simplicity
# the comments after // are required by UnitNormalizer for unit normalization! Do not remove
# note: multi-word phrases must be tokenized in the same way as our tokenizer. If not sure, try the phrases in ./shell first!
#
kilometer           // km, distance
kilometers          // km, distance
km                  // km, distance
meter               // m, length
meters              // m, length
m                   // m, length
centimeter          // cm, length
centimeters         // cm, length
cm                  // cm, length
millimeter          // mm, length
millimeters         // mm, length
mm                  // mm, length
micrometer          // μm, length
micrometers         // μm, length
μm                  // μm, length
mile                // mi, distance
miles               // mi, distance
mi                  // mi, distance
yard                // yd, distance
yards               // yd, distance
yd                  // yd, distance
foot                // ft, length
feet                // ft, length
ft                  // ft, length
inch                // in, length
inches              // in, length
in                  // in, length
square kilometer    // km2, area
square kilometers   // km2, area
km2                 // km2, area
square meter        // m2, area
square meters       // m2, area
m2                  // m2, area
acre                // acre, area
acres               // acre, area
hectare             // ha, area
hectares            // ha, area
ha                  // ha, area
square foot         // ft2, area
square feet         // ft2, area
ft2                 // ft2, area
square inch         // in2, area
square inches       // in2, area
in2                 // in2, area
square yard         // yd2, area
square yards        // yd2, area
yd2                 // yd2, area
kilogram            // kg, mass
kilograms           // kg, mass
kg                  // kg, mass
gram                // g, mass
g                   // g, mass
milligram           // mg, mass
mg                  // mg, mass
grain               // gr, mass
gr                  // gr, mass
ton                 // t, mass
t                   // t, mass
carat               // carat, mass
pound               // lb, mass
lb                  // lb, mass
ounce               // oz, mass
oz                  // oz, mass
fl oz               // oz, volume
pennyweight         // pw, mass
dwt                 // dwt, mass
year                // y, time
yr                  // y, time
years               // y, time
nanosecond          // ns, time
nanoseconds         // ns, time
ns                  // ns, time
week                // w, time
weeks               // w, time
wk                  // w, time
day                 // d, time
days                // d, time
d                   // d, time
ds                  // d, time
month               // month, time
months              // month, time
minutes             // min, time
minute              // min, time
min                 // min, time
mins                // min, time
second              // s, time
seconds             // s, time
s                   // s, time
hour                // h, time
hours               // h, time
h                   // h, time
hs                  // h, time
cubic meter         // m3, volume
cubic meters        // m3, volume
m3                  // m3, volume
liter               // l, volume
liters              // l, volume
liters ha-1         // l/ha
l                   // l, volume
milliliter          // ml, volume
milliliters         // ml, volume
ml                  // ml, volume
teaspoon            // tspn, volume
teaspoons           // tspn, volume
tablespoon          // tbspn, volume
tablespoons         // tbspn, volume
pint                // pt, volume
pints               // pt, volume
liq pt              // pt, volume
dry pt              // pt, volume
quart               // qt, volume
quarts              // qt, volume
qt                  // qt, volume
dry qt              // qt, volume
gallon              // gl, volume
gallons             // gl, volume
gl                  // gl, volume
cup                 // cup, volume
cups                // cup, volume
barrel              // bbl, volume
barrels             // bbl, volume
bbl                 // bbl, volume
acre-foot           // acreft, volume
acre-feet           // acreft, volume
cubic foot          // ft3, volume
cubic feet          // ft3, volume
ft3                 // ft3, volume
cubic inch          // in3, volume
cubic inches        // in3, volume
in3                 // in3, volume
cubic mile          // mi3, volume
cubic miles         // mi3, volume
mi3                 // mi3, volume
cubic yard          // yd3, volume
cubic yards         // yd3, volume
yd3                 // yd3, volume
tonnes              // t, mass
tons                // t, mass
tons per hectare    // t/ha
ton per hectare     // t/ha
ton for one hectare  // t/ha
metric ton per hectare     // t/ha
metric tons per hectare    // t/ha
metric tons                // t
mt                         // t
kilograms per hectare      // kg/ha
kilogram per hectare       // kg/ha
kg / ha                    // kg/ha
t per ha                   // t/ha
t ha-1                     // t/ha
t / ha                     // t/ha
kg N / ha                  // kg/ha
tonnes / ha                // t/ha
tons / ha                  // t/ha
ton / ha                   // t/ha
mt / ha                    // t/ha
kg ha-1                    // kg/ha
g m−2                      // g/m2
g / m2                     // g/m2
mt per hectare             // t/ha
mt / hectare               // t/ha
kg urea ha-1               // kg/ha
kg N ha-1                  // kg/ha
kg P ha-1                  // kg/ha
kg DAP ha-1                // kg/ha
kg TSP ha-1                // kg/ha
kg P2O5 /ha                // kg/ha
kgP2O5/ha                  // kg/ha
Mg ha-1                    // Mg/ha
mg / l                     // mg/l
mg.l-1                     // mg/l
mg l-1                     // mg/l
mg / kg                    // mg/kg
mg.kg-1                    // mg/kg
mg kg-1                    // mg/kg
g / kg                     // g/kg
g.kg-1                     // g/kg
g kg-1                     // g/kg
mg / g                     // mg/g
mg g-1                     // mg/g
mg.g-1                     // mg/g
g / l                      // g/l
g.l-1                      // g/l
mg / ml                    // mg/ml
mg.ml-1                    // mg/ml
μg / μl                    // μg/μl
μg.μl-1                    // μg/μl
μg / g                     // μg/g
μg.g-1                     // μg/g
ng / μl                    // ng/μl
ng.μl-1                    // ng/μl
μg / kg                    // μg/kg
μg.kg-1                    // μg/kg
ng / g                     // ng/g
ng.g-1                     // ng/g
ng / kg                    // ng/kg
ng.kg-1                    // ng/kg
ng / ml                    // ng/ml
ng.ml-1                    // ng/ml
pg / μl                    // pg/μl
pg.μl-1                    // pg/μl
pg / g                     // pg/g
pg.g-1                     // pg/g
ng / ml                    // ng/ml
pg.ml-1                    // pg/ml
fg / μl                    // fg/μl
m3 / ha                    // m3/ha
m3/ ha                     // m3/ha
ml acre-1                  // ml/acre
cm2                        // cm2
m2 kg−1                    // m2/kg
m2 / kg                    // m2/kg
m3 / m3                    // m3/m3
m3 m-3                     // m3/m3
Mg m−3                     // Mg/m3
Mg / m3                    // Mg/m3
g / cm3                    // g/cm3
g cm−3                     // g/cm3
mole per cubic meter       // mol/m3
gram per cubic meter       // g/m3
centimole per liter        // cmol/l
mol / m3                   // mol/m3
mol m−3                    // mol/m3
g m−3                      // g/m3
g / m3                     // g/m3
cmol / l                   // cmol/l
cmol l−1                   // cmol/l
cmol kg-1                  // cmol/kg
cmol kg                    // cmol/kg
cubic meter per hour       // m3/h
m3 h−1                     // m3/h
m3 / h                     // m3/h
C                          // ˚C
˚C                         // ˚C
Celecius                   // ˚C
t m-3                      // t/m3
t / m3                     // t/m3
Mg / m3                    // Mg/m3
Mg m-3                     // Mg/m3
