phosphopyruvate hydratase complex	GO:0000015
plasma membrane	GO:0005886
nucleotide-excision repair complex	GO:0000109
nucleotide-excision repair factor 1 complex	GO:0000110
nucleotide-excision repair factor 2 complex	GO:0000111
nucleotide-excision repair factor 3 complex	GO:0000112
nucleotide-excision repair factor 4 complex	GO:0000113
histone deacetylase complex	GO:0000118
RNA polymerase I transcription factor complex	GO:0000120
histone acetyltransferase complex	GO:0000123
SAGA complex	GO:0000124
PCAF complex	GO:0000125
transcription factor TFIIIB complex	GO:0000126
transcription factor TFIIIC complex	GO:0000127
incipient cellular bud site	GO:0000131
polarisome	GO:0000133
alpha-1,6-mannosyltransferase complex	GO:0000136
Golgi cis cisterna	GO:0000137
Golgi trans cisterna	GO:0000138
Golgi membrane	GO:0000139
cellular bud neck contractile ring	GO:0000142
cellular bud neck septin ring	GO:0000144
exocyst	GO:0000145
1,3-beta-D-glucan synthase complex	GO:0000148
ubiquitin ligase complex	GO:0000151
nuclear ubiquitin ligase complex	GO:0000152
cytoplasmic ubiquitin ligase complex	GO:0000153
protein phosphatase type 2A complex	GO:0000159
protein phosphatase type 1 complex	GO:0000164
ribonuclease MRP complex	GO:0000172
nuclear exosome (RNase complex)	GO:0000176
cytoplasmic exosome (RNase complex)	GO:0000177
exosome (RNase complex)	GO:0000178
cytosolic large ribosomal subunit	GO:0022625
cytosolic small ribosomal subunit	GO:0022627
tRNA-intron endonuclease complex	GO:0000214
proton-transporting two-sector ATPase complex	GO:0016469
vacuolar proton-transporting V-type ATPase, V0 domain	GO:0000220
vacuolar proton-transporting V-type ATPase, V1 domain	GO:0000221
plasma membrane proton-transporting V-type ATPase, V0 domain	GO:0000222
plasma membrane proton-transporting V-type ATPase, V1 domain	GO:0000223
nuclear chromosome	GO:0000228
cytoplasmic chromosome	GO:0000229
condensed nuclear chromosome	GO:0000794
condensed chromosome	GO:0000793
astral microtubule	GO:0000235
pericentriolar material	GO:0000242
commitment complex	GO:0000243
intracellular	GO:0005622
mitochondrial chromosome	GO:0000262
heterotrimeric G-protein complex	GO:0005834
mitochondrial proton-transporting ATP synthase, stator stalk	GO:0000274
mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	GO:0000275
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276
integral component of membrane	GO:0016021
extrinsic component of membrane	GO:0019898
extrinsic component of vacuolar membrane	GO:0000306
cyclin-dependent protein kinase holoenzyme complex	GO:0000307
cytoplasmic cyclin-dependent protein kinase holoenzyme complex	GO:0000308
plastid large ribosomal subunit	GO:0000311
plastid small ribosomal subunit	GO:0000312
organellar ribosome	GO:0000313
organellar small ribosomal subunit	GO:0000314
organellar large ribosomal subunit	GO:0000315
storage vacuole	GO:0000322
lytic vacuole	GO:0000323
fungal-type vacuole	GO:0000324
plant-type vacuole	GO:0000325
protein storage vacuole	GO:0000326
lytic vacuole within protein storage vacuole	GO:0000327
fungal-type vacuole lumen	GO:0000328
fungal-type vacuole membrane	GO:0000329
plant-type vacuole lumen	GO:0000330
contractile vacuole	GO:0000331
telomerase catalytic core complex	GO:0000333
plastid-encoded plastid RNA polymerase complex A	GO:0000343
plastid-encoded plastid RNA polymerase complex B	GO:0000344
cytosolic DNA-directed RNA polymerase complex	GO:0000345
transcription export complex	GO:0000346
THO complex	GO:0000347
cellular bud neck septin structure	GO:0000399
pre-autophagosomal structure	GO:0000407
EKC/KEOPS complex	GO:0000408
HIR complex	GO:0000417
DNA-directed RNA polymerase IV complex	GO:0000418
DNA-directed RNA polymerase V complex	GO:0000419
autophagic vacuole membrane	GO:0000421
plastid-encoded plastid RNA polymerase complex	GO:0000427
DNA-directed RNA polymerase complex	GO:0000428
core TFIIH complex portion of holo TFIIH complex	GO:0000438
core TFIIH complex	GO:0000439
core TFIIH complex portion of NEF3 complex	GO:0000440
MIS12/MIND type complex	GO:0000444
THO complex part of transcription export complex	GO:0000445
nucleoplasmic THO complex	GO:0000446
RNA polymerase I upstream activating factor complex	GO:0000500
proteasome complex	GO:0000502
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	GO:0000506
chromosome, centromeric region	GO:0000775
kinetochore	GO:0000776
condensed chromosome kinetochore	GO:0000777
condensed nuclear chromosome kinetochore	GO:0000778
condensed chromosome, centromeric region	GO:0000779
condensed nuclear chromosome, centromeric region	GO:0000780
chromosome, telomeric region	GO:0000781
telomere cap complex	GO:0000782
nuclear telomere cap complex	GO:0000783
nuclear chromosome, telomeric region	GO:0000784
chromatin	GO:0000785
nucleosome	GO:0000786
cytoplasmic nucleosome	GO:0000787
nuclear nucleosome	GO:0000788
cytoplasmic chromatin	GO:0000789
nuclear chromatin	GO:0000790
euchromatin	GO:0000791
heterochromatin	GO:0000792
synaptonemal complex	GO:0000795
condensin complex	GO:0000796
condensin core heterodimer	GO:0000797
nuclear cohesin complex	GO:0000798
nuclear condensin complex	GO:0000799
lateral element	GO:0000800
central element	GO:0000801
transverse filament	GO:0000802
sex chromosome	GO:0000803
W chromosome	GO:0000804
X chromosome	GO:0000805
Y chromosome	GO:0000806
Z chromosome	GO:0000807
origin recognition complex	GO:0000808
cytoplasmic origin of replication recognition complex	GO:0000809
GINS complex	GO:0000811
Swr1 complex	GO:0000812
ESCRT I complex	GO:0000813
ESCRT II complex	GO:0000814
ESCRT III complex	GO:0000815
COMA complex	GO:0000817
nuclear MIS12/MIND complex	GO:0000818
ER ubiquitin ligase complex	GO:0000835
Hrd1p ubiquitin ligase complex	GO:0000836
Doa10p ubiquitin ligase complex	GO:0000837
Hrd1p ubiquitin ligase ERAD-M complex	GO:0000838
Hrd1p ubiquitin ligase ERAD-L complex	GO:0000839
spindle pole	GO:0000922
equatorial microtubule organizing center	GO:0000923
gamma-tubulin ring complex, centrosomal	GO:0000924
gamma-tubulin small complex, centrosomal	GO:0000927
gamma-tubulin small complex, spindle pole body	GO:0000928
gamma-tubulin complex	GO:0000930
gamma-tubulin large complex	GO:0000931
cytoplasmic mRNA processing body	GO:0000932
adventitious septum	GO:0000933
porous cell septum	GO:0000934
barrier septum	GO:0000935
primary cell septum	GO:0000936
dolipore septum	GO:0000937
GARP complex	GO:0000938
condensed chromosome inner kinetochore	GO:0000939
condensed chromosome outer kinetochore	GO:0000940
condensed nuclear chromosome inner kinetochore	GO:0000941
condensed nuclear chromosome outer kinetochore	GO:0000942
retrotransposon nucleocapsid	GO:0000943
Prp19 complex	GO:0000974
protein-DNA-RNA complex	GO:0001114
mating projection base	GO:0001400
mitochondrial sorting and assembly machinery complex	GO:0001401
presequence translocase-associated import motor	GO:0001405
hyphal tip	GO:0001411
microfibril	GO:0001527
voltage-gated sodium channel complex	GO:0001518
outer dense fiber	GO:0001520
cornified envelope	GO:0001533
