Erk	Human	IPR008349
Erk	Mouse	IPR008349
Erk	FruitFly	IPR008349
Erk	Caenorhabditis elegans	IPR008349
EGF receptor	Human	IPR016245
RasGAP	Human	IPR028555
RasGEF	Human	IPR028555
EGF receptor	Mouse	IPR016245
RasGAP	Mouse	IPR028555
RasGEF	Mouse	IPR028555
(Uracil-5)-methyltransferase	Caenorhabditis elegans	IPR010280
(Uracil-5)-methyltransferase	FruitFly	IPR010280
(Uracil-5)-methyltransferase	Human	IPR010280
(Uracil-5)-methyltransferase	Mouse	IPR010280
(Uracil-5)-methyltransferase	Saccharomyces cerevisiae	IPR010280
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	Caenorhabditis elegans	IPR027496
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	FruitFly	IPR027496
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	Human	IPR027496
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	Mouse	IPR027496
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	Saccharomyces cerevisiae	IPR027496
1,4-alpha-glucan-branching enzyme, GlgB	Caenorhabditis elegans	IPR006407
1,4-alpha-glucan-branching enzyme, GlgB	FruitFly	IPR006407
1,4-alpha-glucan-branching enzyme, GlgB	Human	IPR006407
1,4-alpha-glucan-branching enzyme, GlgB	Mouse	IPR006407
1,4-alpha-glucan-branching enzyme, GlgB	Saccharomyces cerevisiae	IPR006407
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	Human	IPR028400
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	Mouse	IPR028400
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	Human	IPR028403
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	Mouse	IPR028403
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Human	IPR028390
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Mouse	IPR028390
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	Human	IPR028391
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	Mouse	IPR028391
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	Human	IPR028406
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	Mouse	IPR028406
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	Human	IPR028387
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	Mouse	IPR028387
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	Caenorhabditis elegans	IPR028398
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	Human	IPR028398
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	Mouse	IPR028398
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	Human	IPR028392
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	Mouse	IPR028392
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	Human	IPR028393
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	Mouse	IPR028393
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	Human	IPR028380
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	Mouse	IPR028380
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	Human	IPR028381
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	Mouse	IPR028381
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1	Human	IPR028395
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1	Mouse	IPR028395
10-FTHFDH	Caenorhabditis elegans	IPR011407
10-FTHFDH	FruitFly	IPR011407
10-FTHFDH	Human	IPR011407
10-FTHFDH	Mouse	IPR011407
10-formyltetrahydrofolate dehydrogenase	Caenorhabditis elegans	IPR011407
