Abdomen	TS-0001
Abdominal adipose tissue	TS-0002
Abdominal epidermis	TS-0003
Abdominal flexor muscle	TS-0004
Abdominal ganglion	TS-0005
Abdominal ganglia	TS-0005
Abdominal muscle	TS-0006
Abdominal nerve cord	TS-0007
Abdominal perisympathetic organs	TS-0008
Abomasum	TS-0009
Abscission zone	TS-0010
Adductor muscle	TS-0011
Catch muscle	TS-0011
Adipocyte	TS-0012
Adipocytes	TS-0012
Adipose tissue	TS-0013
Adipose	TS-0013
Fat cell	TS-0013
Fat	TS-0013
Adrenal chromaffin	TS-0014
Adrenal cortex	TS-0015
Adrenocortical	TS-0015
Adrenal gland cortex	TS-0015
Cortex of adrenal gland	TS-0015
Cortex of suprarenal gland	TS-0015
Suprarenal cortex	TS-0015
Adrenal gland	TS-0016
Adrenal	TS-0016
Suprarenal gland	TS-0016
Adrenal gland cortical cell	TS-1235
Adrenal gland cortical cells	TS-1235
Adrenal gland cortex cell	TS-1235
Adrenal cortex cell	TS-1235
Cortical cell of adrenal gland	TS-1235
Adrenal glomerulosa	TS-0017
Zona glomerulosa	TS-0017
Adrenal medulla	TS-0018
Adrenal tumor	TS-0019
Adrenal tumour	TS-0019
Aerial part	TS-0020
Aerial tissue	TS-0020
Aerial root	TS-0021
Air root	TS-0021
Aerial tuber	TS-0022
Airway epithelium	TS-0023
Airway epithelial cell	TS-0023
Respiratory system epithelium	TS-0023
Respiratory system epithelial cell	TS-0023
Airway smooth muscle	TS-0024
Respiratory system smooth muscle	TS-0024
Albedo	TS-0025
Albumen gland	TS-0026
Aleurone	TS-0027
Aleurone layer	TS-0027
Alimentary system	TS-1293
Digestive system	TS-1293
Alkaline gland	TS-0028
Allantoic fluid	TS-0029
Alveolar macrophage	TS-0030
Alveolus	TS-0031
Lung alveolar cells	TS-0031
Alveolar cells	TS-0031
Alveoli	TS-0031
Ameloblast	TS-0032
Enamel cell	TS-0032
Amnion	TS-0033
Amniotic fluid	TS-0034
Amniotic membrane	TS-0035
Ampulla	TS-0036
Amygdala	TS-0037
Anal region	TS-1294
Anal sac	TS-0038
Androgenic gland	TS-0039
Angioblast	TS-1204
Vasoformative cell	TS-1204
Endothelial progenitor cell	TS-1204
EPC	TS-1204
Animal cap	TS-1173
Animal hemisphere	TS-1173
Antenna	TS-0040
Antennal lobe	TS-1327
Anterior byssus retractor muscle	TS-0041
Anterior latissimus dorsi muscle	TS-0042
Anterior silk gland	TS-1162
Anterior silkgland	TS-1162
ASG	TS-1162
Anther	TS-0043
