A band	SL-0476
Acidocalcisome	SL-0002
Acidocalcisome lumen	SL-0316
Acidocalcisome membrane	SL-0003
acrosome	SL-0007
acrosome inner membrane	SL-0004
acrosome lumen	SL-0005
acrosome membrane	SL-0006
acrosome outer membrane	SL-0447
actin patch	SL-0008
adherens junction	SL-0009
aleurone grain	SL-0010
aleurone grain lumen	SL-0317
aleurone grain membrane	SL-0011
amyloplast	SL-0012
amyloplast inner membrane	SL-0013
amyloplast membrane	SL-0014
Apical cell membrane	SL-0015
apical lamina	SL-0016
Apicolateral cell membrane	SL-0017
apicoplast	SL-0018
apoplast	SL-0019
Archaeal flagellum	SL-0306
attachment organelle	SL-0020
attachment organelle membrane	SL-0021
autophagosome	SL-0023
autophagosome lumen	SL-0318
autophagosome membrane	SL-0022
axon	SL-0279
Bacterial flagellum	SL-0307
Bacterial flagellum basal body	SL-0142
Bacterial flagellum filament	SL-0358
Bacterial flagellum hook	SL-0357
Barrier septum	SL-0454
Basal cell membrane	SL-0024
basement membrane	SL-0025
Basolateral cell membrane	SL-0026
bleb	SL-0472
Bud	SL-0027
Bud membrane	SL-0028
Bud neck	SL-0029
Bud tip	SL-0030
Cajal body	SL-0031
calyx	SL-0032
capsule	SL-0033
Carboxysome	SL-0034
caveola	SL-0035
cell cortex	SL-0138
Cell envelope	SL-0036
Cell inner membrane	SL-0037
Cell junction	SL-0038
Cell membrane	SL-0039
Cell outer membrane	SL-0040
Cell projection	SL-0280
Cell septum	SL-0455
Cell surface	SL-0310
Cell tip	SL-0456
cell wall	SL-0041
Cellular chromatophore membrane	SL-0042
Cellular thylakoid	SL-0043
Cellular thylakoid lumen	SL-0044
Cellular thylakoid membrane	SL-0045
centriolar satellite	SL-0485
centriole	SL-0046
centromere	SL-0047
centrosome	SL-0048
chloroplast	SL-0049
chloroplast envelope	SL-0050
chloroplast inner membrane	SL-0051
chloroplast intermembrane space	SL-0052
chloroplast membrane	SL-0053
chloroplast nucleoid	SL-0139
chloroplast outer membrane	SL-0054
chloroplast stroma	SL-0055
chloroplast thylakoid	SL-0056
chloroplast thylakoid lumen	SL-0057
chloroplast thylakoid membrane	SL-0058
Chlorosome	SL-0059
chlorosome envelope	SL-0060
chromaffin granule	SL-0061
chromaffin granule lumen	SL-0349
